OBJECTID,geoid,county_fip,tract,tot_pop_po,tot_pop_ci,tot_pop_ov,tot_hh,tot_fam,pop_over75,pop_poc,pop_spfam,pop_lep,pop_below2,pop_disabi,pop_hus_re,pop_zvhhs,pct_over75,pct_poc,pct_spfam,pct_lep,pct_below2,pct_disab,pct_hus_re,pct_zvhhs,poc_halfsd,spfam_half,lep_halfsd,below200_h,disab_half,hus_re_hal,zvhh_halfs,epc_class,epc_flag,Shape__Area,Shape__Length
1399,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,4.91177161165979E-08,0.00258070580879779
1400,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,6.32098817732185E-11,0.000117523725463447
1401,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,2.22826201934367E-11,7.90920527901936E-05
1402,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,4.89471858600155E-08,0.00229528257625276
1403,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,1.02504600363318E-08,0.00219732615087265
1404,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,4.26553015131503E-10,0.000413218603866972
1405,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,2.46018316829577E-09,0.000364282104659632
1406,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,4.57131136499811E-07,0.0107104525831373
1407,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,2.10366124520078E-09,0.00228447593354113
1408,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,2.0983861759305E-08,0.00545548569218347
1409,06055201200,55,201200,4831,4834,4683,1968,1252,667,1971,85,525,1304,667,72,94,0.137980997562408,0.407736986875534,0.0678913965821266,0.112107999622822,0.269923001527786,0.137980997562408,0.0365854017436504,0.0477642007172108,0,0,0,0,1,,0,NA,0,1.15205784823047E-06,0.00630772818788713
1410,06055201200,55,201200,4831,4834,4683,1968,1252,667,1971,85,525,1304,667,72,94,0.137980997562408,0.407736986875534,0.0678913965821266,0.112107999622822,0.269923001527786,0.137980997562408,0.0365854017436504,0.0477642007172108,0,0,0,0,1,,0,NA,0,6.36332515568938E-08,0.00767410589716675
1411,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,1.73250700754579E-05,0.0356907807227776
1412,06075020700,75,20700,5169,5169,5011,2656,596,56,1824,47,179,833,319,179,899,0.0108337998390198,0.352872997522354,0.0788590982556343,0.0357213988900185,0.161153003573418,0.0617141015827656,0.0673945993185043,0.3384790122509,0,0,0,0,0,,1,NA,0,3.54894677911943E-05,0.0249191867544871
1413,06075020800,75,20800,6292,6292,6090,2846,878,292,4186,87,733,2487,754,546,1517,0.0464080981910229,0.665288984775543,0.0990888029336929,0.120361000299454,0.395263999700546,0.119834996759892,0.191847994923592,0.533029019832611,0,0,1,1,0,,1,High,1,3.53866457771801E-05,0.024896140683924
1414,06075020900,75,20900,4913,4927,4848,1894,800,187,3262,191,987,2094,640,295,826,0.0379540994763374,0.662065982818604,0.238749995827675,0.203589007258415,0.426216006278992,0.129896000027657,0.155754998326302,0.436114013195038,0,1,1,1,1,,1,High,1,3.19667919939093E-05,0.0233197228589189
1415,06075021000,75,21000,4577,4600,4476,2165,786,142,1916,35,65,836,492,347,679,0.030749199911952,0.414898008108139,0.0445293001830578,0.0145218996331096,0.182651996612549,0.106957003474236,0.160276994109154,0.313625991344452,0,0,0,0,0,,1,NA,0,3.20008352900913E-05,0.0235629511403987
1416,06013376000,13,376000,5537,5547,5040,1757,1190,225,5300,374,1127,3135,758,286,303,0.0405624993145466,0.955470979213715,0.31428599357605,0.223610997200012,0.566191017627716,0.136649996042252,0.162777006626129,0.172453001141548,1,1,1,1,1,,1,Highest,1,0.000124882246382185,0.0556577510158432
1417,06075022600,75,22600,2082,2082,1932,949,425,19,845,42,24,164,78,35,113,0.00912583991885185,0.405860006809235,0.0988235026597977,0.0124223995953798,0.0787703990936279,0.0374640002846718,0.036880899220705,0.119073003530502,0,0,0,0,0,,1,NA,0,0.000130759601233876,0.0942016517499677
1418,06075022802,75,22802,1983,1983,2284,672,327,225,1621,38,296,893,277,129,217,0.093671903014183,0.674853980541229,0.116208001971245,0.129596993327141,0.45032799243927,0.13968700170517,0.191964000463486,0.322917014360428,0,0,1,1,1,,1,High,1,2.97661786134995E-05,0.029686893543375
